State,Grade,Dimension,Master_ItemID,State_ItemID,In_2019,In_2018,value_2019flexmirt,value_2019matlab,value_2019matlab_State1,value_2019matlab_State4,value_2019airt,value_2018flexmirt,value_2018matlab,value_2018flexmirt_2019scale,value_2018matlab_2019scale,value_final,Statistics
State1,ES,Mean_State1,NA,NA,1,1,0,0,0,NA,0,0,0,-0.04163718,-0.04163718,0,State mean
State2,ES,Mean_State2,NA,NA,1,1,-0.5410974,-0.5411,NA,NA,-0.541097369,-0.5446653,-0.54391,-0.58630248,-0.58554718,-0.5410974,State mean
State3,ES,Mean_State3,NA,NA,1,NA,-0.172149,-0.17215,NA,NA,-0.172148993,NA,NA,NA,NA,-0.172149,State mean
State4,ES,Mean_State4,NA,NA,1,1,0.0630864,0.063086,NA,0,0.0630864,0.1776689,0.17423,0.13603172,0.13259282,0.0630864,State mean
State5,ES,Mean_State5,NA,NA,1,1,-0.0100854,-0.010085,NA,NA,-0.0100854,0.119117,0.11936,0.07747982,0.07772282,-0.0100854,State mean
State6,ES,Mean_State6,NA,NA,1,1,-0.0311504,-0.03115,NA,NA,-0.0311504,-0.139077,-0.14449,-0.18071418,-0.18612718,-0.0311504,State mean
State7,ES,Mean_State7,NA,NA,1,1,0.1069147,0.10691,NA,NA,0.1069147,0.0479749,0.041928,0.00633772,0.00029082,0.1069147,State mean
State8,ES,Mean_State8,NA,NA,1,1,-0.1970427,-0.19704,NA,NA,-0.1970427,-0.1081669,-0.10943,-0.14980408,-0.15106718,-0.1970427,State mean
State9,ES,Mean_State9,NA,NA,1,1,-0.3869752,-0.38698,NA,NA,-0.386975217,-0.3749727,-0.37465,-0.41660988,-0.41628718,-0.3869752,State mean
State1,ES,Variance_CT,NA,NA,1,1,0.7809519,0.78095,0.7845,NA,0.7809519,0.7685526,0.76808,0.7685526,0.76808,0.7809519,State variance
State2,ES,Variance_HI,NA,NA,1,1,0.6177269,0.61773,NA,NA,0.617726931,0.612386,0.60793,0.612386,0.60793,0.6177269,State variance
State3,ES,Variance_ID,NA,NA,1,NA,1.0432588,1.0433,NA,NA,1.043258827,NA,NA,NA,NA,1.0432588,State variance
State4,ES,Variance_NH,NA,NA,1,1,0.6701164,0.67012,NA,0.67134,0.6701164,0.6096642,0.60795,0.6096642,0.60795,0.6701164,State variance
