statistics,f_21_001,f_21_0001,f_21_00001,f_21_001_startvalue,f_21_0001_startvalue,f_21_00001_startvalue,f_49_001,f_49_0001,f_49_00001,f_49_001_startvalue,f_49_0001_startvalue,f_49_00001_startvalue,c_21_001,c_21_0001,c_21_00001,c_49_001,c_49_0001,c_49_00001,m_21_001,m_21_0001,m_21_00001,m_49_001,m_49_0001,m_49_00001
Deviance,2757122.89,2756941.55,2756941.55,2756559.6,2756554.41,2756546.82,2757224.72,2756865.73,2756849.39,2756846.93,2756848.47,2756848.66,2756441.323,2756439.895,2756439.883,2756444.149,2756442.566,2756442.55,2756441,2756440,2756439,2756444,2756443,2756443
General_CT,0.7849692,0.7815106,0.7815106,0.7750455,0.7750558,0.7750696,0.7854096,0.7775177,0.776499,0.7763227,0.7763272,0.7763288,0.776207858,0.775627702,0.775578926,0.776158364,0.775277402,0.775218668,0.77637,0.77564,0.77558,0.77609,0.77528,0.77522
10222_21394,1.0275859,1.0314038,1.0314038,1.0390001,1.0391041,1.0391035,1.0275364,1.0380421,1.038597,1.0387172,1.0387302,1.0386957,1.039027293,1.039078591,1.039081111,1.038730796,1.038941744,1.038951735,1.039,1.0391,1.0391,1.0388,1.0389,1.039
242_1643,0.6623709,0.6204668,0.6204668,0.4459128,0.4459223,0.4459222,0.6630111,0.482202,0.446186,0.44585,0.4458683,0.4458751,0.445947092,0.44591753,0.445923795,0.445841993,0.445847536,0.445853717,0.44591,0.44592,0.44592,0.44584,0.44585,0.44585
10104_41769,0.7954422,0.7641096,0.7641096,0.6338586,0.6341613,0.6341817,0.7956566,0.6556153,0.633224,0.6331101,0.6333654,0.6333301,0.633959369,0.634166366,0.634184041,0.63307297,0.633451486,0.633473629,0.63386,0.63416,0.63418,0.63311,0.63345,0.63347
233_3759,0.4948035,0.451258,0.451258,0.3031077,0.3031581,0.3031584,0.495351,0.3292084,0.303481,0.3025495,0.3026677,0.3027841,0.303124919,0.303156599,0.303161209,0.302430099,0.302459385,0.302462957,0.30311,0.30316,0.30316,0.30243,0.30246,0.30246
10222_21922,1.2049454,1.2199412,1.2199412,1.2363928,1.2365064,1.2365078,1.204223,1.2348897,1.235315,1.2354105,1.2354168,1.2354181,1.236452498,1.236532267,1.236539861,1.235559387,1.235725945,1.235735752,1.2364,1.2365,1.2365,1.2356,1.2357,1.2357
233_3963,1.1687344,1.1963293,1.1963293,1.2571193,1.2575163,1.2575153,1.1685628,1.2535413,1.256077,1.2572321,1.2571968,1.2569813,1.257201993,1.257487775,1.257517096,1.257613457,1.258119623,1.258155407,1.2571,1.2575,1.2575,1.2577,1.2581,1.2582
242_2038,1.0574272,1.0673382,1.0673382,1.0864024,1.0865998,1.0865987,1.057348,1.0858513,1.086579,1.0866974,1.0867236,1.0866128,1.086469347,1.086559784,1.086564072,1.086650107,1.086920167,1.08692801,1.0864,1.0866,1.0866,1.0867,1.0869,1.0869
100180_26,3.8284472,3.8288075,3.8288075,4.6179735,4.6403404,4.6739496,3.6261353,3.6269397,3.627178,3.6275709,3.6272329,3.62723,5.000000101,5.000000101,5.000000101,5.000000101,5.000000101,5.000000101,5,5,5,5,5,5
