State,Grade,value_final,Statistics
State1,ES,0,State mean
State2,ES,-0.5410974,State mean
State3,ES,-0.172149,State mean
State4,ES,0.0630864,State mean
State5,ES,-0.0100854,State mean
State6,ES,-0.0311504,State mean
State7,ES,0.1069147,State mean
State8,ES,-0.1970427,State mean
State9,ES,-0.3869752,State mean
State1,ES,0.7809519,State variance
State2,ES,0.6177269,State variance
State3,ES,1.0432588,State variance
State4,ES,0.6701164,State variance
State5,ES,0.786173,State variance
State6,ES,0.8394916,State variance
State7,ES,0.7545357,State variance
State8,ES,0.643482,State variance
State9,ES,1.0194991,State variance
State1,MS,0,State mean
State2,MS,-0.1888089,State mean
State3,MS,-0.0577926,State mean
State4,MS,0.0939548,State mean
State5,MS,0.0027603,State mean
State6,MS,-0.1044252,State mean
State7,MS,0.0781428,State mean
State8,MS,-0.301185,State mean
State9,MS,-0.049391,State mean
State1,MS,0.7769402,State variance
State2,MS,0.9658003,State variance
State3,MS,0.6219263,State variance
State4,MS,0.5303032,State variance
State5,MS,0.7746322,State variance
State6,MS,0.7854768,State variance
State7,MS,0.7662013,State variance
State8,MS,0.6459582,State variance
State9,MS,0.5898213,State variance
State1,HS,0,State mean
State2,HS,0.0620695,State mean
State4,HS,0.0797551,State mean
State5,HS,-0.0383307,State mean
State6,HS,-0.2260678,State mean
State7,HS,0.0179179,State mean
State9,HS,-0.1144302,State mean
State1,HS,0.8268645,State variance
State2,HS,0.8377203,State variance
State4,HS,0.6676154,State variance
State5,HS,0.5658386,State variance
State6,HS,0.6735256,State variance
State7,HS,0.7142072,State variance
State9,HS,0.5289658,State variance
State10,MS,-0.07561863,State mean
State10,MS,0.70875,State variance
State11,MS,0.17146537,State mean
State11,MS,0.95628,State variance
State12,MS,0.26767537,State mean
State12,MS,1.0801,State variance
